File,Point,Meaning,Example Answers,Funder,DMP Section,DMP Question
datasets_info,"4. Per dataset, state its origin/source.","Non exhaustive list of possible attributes for data source/origin or collection mode:

* Observational, Experimental
* Quantitative, Qualitative
* Simulation
* Derived/compiled from other sources
* Digital (born-digital or digitized) or non-digital nature (e.g. paper surveys, questionnaires...)
* Surveys or questionnaires or interviews,
* Primary (generated by the researcher for a particular research purpose or project), 
* Secondary (originally created by someone else for another purpose)
* Raw, Processed
* etc

Specifying where the data come from, or when and by whom data will be generated/collected helps to identify implications for privacy (GDPR), IP and other legal or ethical aspects.","* Datasets [Name] and [Name] are [laboratory/field/preclinical experiments] on [organism].
* Datasets [Name] consists of measurements performed in the lab by a partner in a different (part of the) country.
* Dataset [Name] is a combination of existing data and new experimental data of [X] and [Y] platform/consortium.
* The source of [dataset name] is a collection of existing [studies/books/publications].
* The source of datasets [Name] and [Name] are quantitative [survey/interview/questionnaire] collected by a team of survey takers we hire.
* Dataset [Name] is a [qualitative or quantitative observational] study on [population/topic/subject].",FWO,Data description,"Describe the origin, type and format of the data (per dataset) and its (estimated) volume"
datasets_info,"4. Per dataset, state its origin/source.","Non exhaustive list of possible attributes for data source/origin or collection mode:

* Observational, Experimental
* Quantitative, Qualitative
* Simulation
* Derived/compiled from other sources
* Digital (born-digital or digitized) or non-digital nature (e.g. paper surveys, questionnaires...)
* Surveys or questionnaires or interviews,
* Primary (generated by the researcher for a particular research purpose or project), 
* Secondary (originally created by someone else for another purpose)
* Raw, Processed
* etc

Specifying where the data come from, or when and by whom data will be generated/collected helps to identify implications for privacy (GDPR), IP and other legal or ethical aspects.","* Datasets [Name] and [Name] are [laboratory/field/preclinical experiments] on [organism].
* Datasets [Name] consists of measurements performed in the lab by a partner in a different (part of the) country.
* Dataset [Name] is a combination of existing data and new experimental data of [X] and [Y] platform/consortium.
* The source of [dataset name] is a collection of existing [studies/books/publications].
* The source of datasets [Name] and [Name] are quantitative [survey/interview/questionnaire] collected by a team of survey takers we hire.
* Dataset [Name] is a [qualitative or quantitative observational] study on [population/topic/subject].",BELSPO,Data description,"Describe the origin, type and format of the data (per dataset) and its (estimated) volume"
datasets_info,"4. Per dataset, state its origin/source.","Non exhaustive list of possible attributes for data source/origin or collection mode:

* Observational, Experimental
* Quantitative, Qualitative
* Simulation
* Derived/compiled from other sources
* Digital (born-digital or digitized) or non-digital nature (e.g. paper surveys, questionnaires...)
* Surveys or questionnaires or interviews,
* Primary (generated by the researcher for a particular research purpose or project), 
* Secondary (originally created by someone else for another purpose)
* Raw, Processed
* etc

Specifying where the data come from, or when and by whom data will be generated/collected helps to identify implications for privacy (GDPR), IP and other legal or ethical aspects.","* Datasets [Name] and [Name] are [laboratory/field/preclinical experiments] on [organism].
* Datasets [Name] consists of measurements performed in the lab by a partner in a different (part of the) country.
* Dataset [Name] is a combination of existing data and new experimental data of [X] and [Y] platform/consortium.
* The source of [dataset name] is a collection of existing [studies/books/publications].
* The source of datasets [Name] and [Name] are quantitative [survey/interview/questionnaire] collected by a team of survey takers we hire.
* Dataset [Name] is a [qualitative or quantitative observational] study on [population/topic/subject].",ERC,Summary,dataset origin
datasets_info,"4. Per dataset, state its origin/source.","Non exhaustive list of possible attributes for data source/origin or collection mode:

* Observational, Experimental
* Quantitative, Qualitative
* Simulation
* Derived/compiled from other sources
* Digital (born-digital or digitized) or non-digital nature (e.g. paper surveys, questionnaires...)
* Surveys or questionnaires or interviews,
* Primary (generated by the researcher for a particular research purpose or project), 
* Secondary (originally created by someone else for another purpose)
* Raw, Processed
* etc

Specifying where the data come from, or when and by whom data will be generated/collected helps to identify implications for privacy (GDPR), IP and other legal or ethical aspects.","* Datasets [Name] and [Name] are [laboratory/field/preclinical experiments] on [organism].
* Datasets [Name] consists of measurements performed in the lab by a partner in a different (part of the) country.
* Dataset [Name] is a combination of existing data and new experimental data of [X] and [Y] platform/consortium.
* The source of [dataset name] is a collection of existing [studies/books/publications].
* The source of datasets [Name] and [Name] are quantitative [survey/interview/questionnaire] collected by a team of survey takers we hire.
* Dataset [Name] is a [qualitative or quantitative observational] study on [population/topic/subject].",H2020,Data Summary,Specify the origin
datasets_info,"4. Per dataset, state its origin/source.","Non exhaustive list of possible attributes for data source/origin or collection mode:

* Observational, Experimental
* Quantitative, Qualitative
* Simulation
* Derived/compiled from other sources
* Digital (born-digital or digitized) or non-digital nature (e.g. paper surveys, questionnaires...)
* Surveys or questionnaires or interviews,
* Primary (generated by the researcher for a particular research purpose or project), 
* Secondary (originally created by someone else for another purpose)
* Raw, Processed
* etc

Specifying where the data come from, or when and by whom data will be generated/collected helps to identify implications for privacy (GDPR), IP and other legal or ethical aspects.","* Datasets [Name] and [Name] are [laboratory/field/preclinical experiments] on [organism].
* Datasets [Name] consists of measurements performed in the lab by a partner in a different (part of the) country.
* Dataset [Name] is a combination of existing data and new experimental data of [X] and [Y] platform/consortium.
* The source of [dataset name] is a collection of existing [studies/books/publications].
* The source of datasets [Name] and [Name] are quantitative [survey/interview/questionnaire] collected by a team of survey takers we hire.
* Dataset [Name] is a [qualitative or quantitative observational] study on [population/topic/subject].",HorizonEurope,Data Summary,"What is the origin/provenance of the data, either generated or re-used?"
datasets_info,"4. Per dataset, state its origin/source.","Non exhaustive list of possible attributes for data source/origin or collection mode:

* Observational, Experimental
* Quantitative, Qualitative
* Simulation
* Derived/compiled from other sources
* Digital (born-digital or digitized) or non-digital nature (e.g. paper surveys, questionnaires...)
* Surveys or questionnaires or interviews,
* Primary (generated by the researcher for a particular research purpose or project), 
* Secondary (originally created by someone else for another purpose)
* Raw, Processed
* etc

Specifying where the data come from, or when and by whom data will be generated/collected helps to identify implications for privacy (GDPR), IP and other legal or ethical aspects.","* Datasets [Name] and [Name] are [laboratory/field/preclinical experiments] on [organism].
* Datasets [Name] consists of measurements performed in the lab by a partner in a different (part of the) country.
* Dataset [Name] is a combination of existing data and new experimental data of [X] and [Y] platform/consortium.
* The source of [dataset name] is a collection of existing [studies/books/publications].
* The source of datasets [Name] and [Name] are quantitative [survey/interview/questionnaire] collected by a team of survey takers we hire.
* Dataset [Name] is a [qualitative or quantitative observational] study on [population/topic/subject].",ScienceEurope,1a. How will new data be collected or produced and/or how will existing data be re-used?,Explain which methodologies or software will be used if new data are collected or produced.
datasets_info,"5. Per dataset, state digital format(s) of raw and processed data files, distinguishing proprietary from open format(s).","* Raw and processed data file formats can be instrument/software-dependent, so check the formats generated by the instrument/software you will use.
* Try to convert proprietary format into open format to ensure that your data will be usable in the future.
* The required digital formats of raw and processed data could vary depending on the data repository you will use to share the data, so check what formats are accepted by the chosen repository on its website.","* Raw and/or processed [numeric/video/audio/text...] data files of datasets [Name] and [Name] are in this [proprietary/open] [formats].
* Raw images of the dataset ""Phenotype analysis by imaging"" are in open format JPEG; spreadsheet of the processed quantification data are in open .csv format.",FWO,Data description,"Describe the origin, type and format of the data (per dataset) and its (estimated) volume."
datasets_info,"5. Per dataset, state digital format(s) of raw and processed data files, distinguishing proprietary from open format(s).","* Raw and processed data file formats can be instrument/software-dependent, so check the formats generated by the instrument/software you will use.
* Try to convert proprietary format into open format to ensure that your data will be usable in the future.
* The required digital formats of raw and processed data could vary depending on the data repository you will use to share the data, so check what formats are accepted by the chosen repository on its website.","* Raw and/or processed [numeric/video/audio/text...] data files of datasets [Name] and [Name] are in this [proprietary/open] [formats].
* Raw images of the dataset ""Phenotype analysis by imaging"" are in open format JPEG; spreadsheet of the processed quantification data are in open .csv format.",BELSPO,Data description,"Describe the origin, type and format of the data (per dataset) and its (estimated) volume."
datasets_info,"5. Per dataset, state digital format(s) of raw and processed data files, distinguishing proprietary from open format(s).","* Raw and processed data file formats can be instrument/software-dependent, so check the formats generated by the instrument/software you will use.
* Try to convert proprietary format into open format to ensure that your data will be usable in the future.
* The required digital formats of raw and processed data could vary depending on the data repository you will use to share the data, so check what formats are accepted by the chosen repository on its website.","* Raw and/or processed [numeric/video/audio/text...] data files of datasets [Name] and [Name] are in this [proprietary/open] [formats].
* Raw images of the dataset ""Phenotype analysis by imaging"" are in open format JPEG; spreadsheet of the processed quantification data are in open .csv format.",ERC,Summary,data type and format
datasets_info,"5. Per dataset, state digital format(s) of raw and processed data files, distinguishing proprietary from open format(s).","* Raw and processed data file formats can be instrument/software-dependent, so check the formats generated by the instrument/software you will use.
* Try to convert proprietary format into open format to ensure that your data will be usable in the future.
* The required digital formats of raw and processed data could vary depending on the data repository you will use to share the data, so check what formats are accepted by the chosen repository on its website.","* Raw and/or processed [numeric/video/audio/text...] data files of datasets [Name] and [Name] are in this [proprietary/open] [formats].
* Raw images of the dataset ""Phenotype analysis by imaging"" are in open format JPEG; spreadsheet of the processed quantification data are in open .csv format.",H2020,Data Summary,Specify the types and formats of data generated/collected
datasets_info,"5. Per dataset, state digital format(s) of raw and processed data files, distinguishing proprietary from open format(s).","* Raw and processed data file formats can be instrument/software-dependent, so check the formats generated by the instrument/software you will use.
* Try to convert proprietary format into open format to ensure that your data will be usable in the future.
* The required digital formats of raw and processed data could vary depending on the data repository you will use to share the data, so check what formats are accepted by the chosen repository on its website.","* Raw and/or processed [numeric/video/audio/text...] data files of datasets [Name] and [Name] are in this [proprietary/open] [formats].
* Raw images of the dataset ""Phenotype analysis by imaging"" are in open format JPEG; spreadsheet of the processed quantification data are in open .csv format.",HorizonEurope,Data Summary,What types and formats of data will the project generate or re-use?
datasets_info,"5. Per dataset, state digital format(s) of raw and processed data files, distinguishing proprietary from open format(s).","* Raw and processed data file formats can be instrument/software-dependent, so check the formats generated by the instrument/software you will use.
* Try to convert proprietary format into open format to ensure that your data will be usable in the future.
* The required digital formats of raw and processed data could vary depending on the data repository you will use to share the data, so check what formats are accepted by the chosen repository on its website.","* Raw and/or processed [numeric/video/audio/text...] data files of datasets [Name] and [Name] are in this [proprietary/open] [formats].
* Raw images of the dataset ""Phenotype analysis by imaging"" are in open format JPEG; spreadsheet of the processed quantification data are in open .csv format.",ScienceEurope,"1b. What data (for example the kind, formats, and volumes), will be collected or produced?","â€¢ Give details on the kind of data: for example numeric (databases, spreadsheets), textual (documents), image, audio, video, and/or mixed media. â€¢ Give details on the data format: the way in which the data is encoded for storage, often reflected by the filename extension (for example pdf, xls, doc, txt, or rdf). â€¢ Justify the use of certain formats. For example, decisions may be based on staff expertise within the host organisation, a preference for open formats, standards accepted by data repositories, widespread usage within the research community, or on the software or equipment that will be used. â€¢ Give preference to open and standard formats as they facilitate sharing and long-term re-use of data (several repositories provide lists of such â€˜preferred formatsâ€™)."
datasets_info,6. What methods or software tools are needed to access data files in proprietary format? Is documentation about the software needed to open the data file provided in the metadata? Is it possible to provide the relevant software (e.g. in open source code)?,,"* Data files in proprietary formats [x,y,z] can be accessed by the software [X and Y], which are open; software info will be described in the documentation associated with the data files.
* Format [x] can only be opened with the proprietary software [Y]; no open format nor open software exists for this data type; software info will be described in the documentation associated with the data files.
* Software to access data files will be provided as open source.",ERC,Making data openly accessible,How the data can be accessed
datasets_info,6. What methods or software tools are needed to access data files in proprietary format? Is documentation about the software needed to open the data file provided in the metadata? Is it possible to provide the relevant software (e.g. in open source code)?,,"* Data files in proprietary formats [x,y,z] can be accessed by the software [X and Y], which are open; software info will be described in the documentation associated with the data files.
* Format [x] can only be opened with the proprietary software [Y]; no open format nor open software exists for this data type; software info will be described in the documentation associated with the data files.
* Software to access data files will be provided as open source.",H2020,Making data openly accessible,Specify what methods or software tools are needed to access the data? Is documentation about the software needed to access the data included? Is it possible to include the relevant software (e.g. in open source code)?
datasets_info,6. What methods or software tools are needed to access data files in proprietary format? Is documentation about the software needed to open the data file provided in the metadata? Is it possible to provide the relevant software (e.g. in open source code)?,,"* Data files in proprietary formats [x,y,z] can be accessed by the software [X and Y], which are open; software info will be described in the documentation associated with the data files.
* Format [x] can only be opened with the proprietary software [Y]; no open format nor open software exists for this data type; software info will be described in the documentation associated with the data files.
* Software to access data files will be provided as open source.",HorizonEurope,Making data accessible,Will documentation or reference about any software be needed to access or read the data be included? Will it be possible to include the relevant software (e.g. in open source code)?
datasets_info,6. What methods or software tools are needed to access data files in proprietary format? Is documentation about the software needed to open the data file provided in the metadata? Is it possible to provide the relevant software (e.g. in open source code)?,,"* Data files in proprietary formats [x,y,z] can be accessed by the software [X and Y], which are open; software info will be described in the documentation associated with the data files.
* Format [x] can only be opened with the proprietary software [Y]; no open format nor open software exists for this data type; software info will be described in the documentation associated with the data files.
* Software to access data files will be provided as open source.",ScienceEurope,5c. What methods or software tools are needed to access and use data?,â€¢Indicate whether potential users need specific tools to access and (re-)use the data. Consider the sustainability of software needed for accessing the data.
datasets_info,"7. Per dataset, state its expected volume at the end of the project.","Data volume doesn't have to be precise; a realistic range of the data volume is sufficient.

How to estimate dataset volume:

* Consider at least all raw data files. Check if processed data are also required by repositories or journals.
* Estimate file size per sample or experiment, based on files previously generated using similar setting.
* Multiply the estimated file size by the number of samples or experiments you are going to generate during the project.",* Phenotype analysis: X images in Y format is about XXX GB; RNA-seq on Arabidopsis: 200 files are about 200GB.,FWO,Data description,"Describe the origin, type and format of the data (per dataset) and its (estimated) volume."
datasets_info,"7. Per dataset, state its expected volume at the end of the project.","Data volume doesn't have to be precise; a realistic range of the data volume is sufficient.

How to estimate dataset volume:

* Consider at least all raw data files. Check if processed data are also required by repositories or journals.
* Estimate file size per sample or experiment, based on files previously generated using similar setting.
* Multiply the estimated file size by the number of samples or experiments you are going to generate during the project.",* Phenotype analysis: X images in Y format is about XXX GB; RNA-seq on Arabidopsis: 200 files are about 200GB.,BELSPO,Data description,"Describe the origin, type and format of the data (per dataset) and its (estimated) volume."
datasets_info,"7. Per dataset, state its expected volume at the end of the project.","Data volume doesn't have to be precise; a realistic range of the data volume is sufficient.

How to estimate dataset volume:

* Consider at least all raw data files. Check if processed data are also required by repositories or journals.
* Estimate file size per sample or experiment, based on files previously generated using similar setting.
* Multiply the estimated file size by the number of samples or experiments you are going to generate during the project.",* Phenotype analysis: X images in Y format is about XXX GB; RNA-seq on Arabidopsis: 200 files are about 200GB.,ERC,Summary,dataset expected size
datasets_info,"7. Per dataset, state its expected volume at the end of the project.","Data volume doesn't have to be precise; a realistic range of the data volume is sufficient.

How to estimate dataset volume:

* Consider at least all raw data files. Check if processed data are also required by repositories or journals.
* Estimate file size per sample or experiment, based on files previously generated using similar setting.
* Multiply the estimated file size by the number of samples or experiments you are going to generate during the project.",* Phenotype analysis: X images in Y format is about XXX GB; RNA-seq on Arabidopsis: 200 files are about 200GB.,H2020,Data Summary,State the expected size of the data (if known)
datasets_info,"7. Per dataset, state its expected volume at the end of the project.","Data volume doesn't have to be precise; a realistic range of the data volume is sufficient.

How to estimate dataset volume:

* Consider at least all raw data files. Check if processed data are also required by repositories or journals.
* Estimate file size per sample or experiment, based on files previously generated using similar setting.
* Multiply the estimated file size by the number of samples or experiments you are going to generate during the project.",* Phenotype analysis: X images in Y format is about XXX GB; RNA-seq on Arabidopsis: 200 files are about 200GB.,HorizonEurope,Data Summary,What is the expected size of the data that you intend to generate or re-use?
datasets_info,"7. Per dataset, state its expected volume at the end of the project.","Data volume doesn't have to be precise; a realistic range of the data volume is sufficient.

How to estimate dataset volume:

* Consider at least all raw data files. Check if processed data are also required by repositories or journals.
* Estimate file size per sample or experiment, based on files previously generated using similar setting.
* Multiply the estimated file size by the number of samples or experiments you are going to generate during the project.",* Phenotype analysis: X images in Y format is about XXX GB; RNA-seq on Arabidopsis: 200 files are about 200GB.,ScienceEurope,"1b. What data (for example the kind, formats, and volumes), will be collected or produced?","Give details on the volumes (they can be expressed in storage space required (bytes), and/or in numbers of objects, files, rows, and columns)."
sharing_reuse,1. Which datasets will be shared and made available (for the society) after the end of the project? Distinguish open access datasets from restricted or closed access datasets.,"What does open, closed and restricted access mean?

* Open access: there are no restrictions on access to the data; anyone can view and download a copy.
* Closed access: a description of your dataset is published (metadata); however, the dataset can only be accessed by its subject, owner or holder.
* Restricted access: a description of your dataset is published (metadata) and provides information on how to apply for access to the data (registered access, access upon request etc...).
* Embargoed: the dataset can't be accessed until the end of a specified time period, after which it becomes Open, Closed or Restricted access.","* Open access: Datasets [Name] and [Name]; 
Restricted access: Datasets [Name] and [Name]; 
Closed access: Datasets [Name].
* All datasets will be open access.",FWO,Data sharing and reuse,Which data will be made available after the end of the project?
sharing_reuse,1. Which datasets will be shared and made available (for the society) after the end of the project? Distinguish open access datasets from restricted or closed access datasets.,"What does open, closed and restricted access mean?

* Open access: there are no restrictions on access to the data; anyone can view and download a copy.
* Closed access: a description of your dataset is published (metadata); however, the dataset can only be accessed by its subject, owner or holder.
* Restricted access: a description of your dataset is published (metadata) and provides information on how to apply for access to the data (registered access, access upon request etc...).
* Embargoed: the dataset can't be accessed until the end of a specified time period, after which it becomes Open, Closed or Restricted access.","* Open access: Datasets [Name] and [Name]; 
Restricted access: Datasets [Name] and [Name]; 
Closed access: Datasets [Name].
* All datasets will be open access.",BELSPO,Data sharing and reuse,Which data will be made available after the end of the project?
sharing_reuse,1. Which datasets will be shared and made available (for the society) after the end of the project? Distinguish open access datasets from restricted or closed access datasets.,"What does open, closed and restricted access mean?

* Open access: there are no restrictions on access to the data; anyone can view and download a copy.
* Closed access: a description of your dataset is published (metadata); however, the dataset can only be accessed by its subject, owner or holder.
* Restricted access: a description of your dataset is published (metadata) and provides information on how to apply for access to the data (registered access, access upon request etc...).
* Embargoed: the dataset can't be accessed until the end of a specified time period, after which it becomes Open, Closed or Restricted access.","* Open access: Datasets [Name] and [Name]; 
Restricted access: Datasets [Name] and [Name]; 
Closed access: Datasets [Name].
* All datasets will be open access.",ERC,Making data openly accessible,which data will be made openly available? which data will remain closed
sharing_reuse,1. Which datasets will be shared and made available (for the society) after the end of the project? Distinguish open access datasets from restricted or closed access datasets.,"What does open, closed and restricted access mean?

* Open access: there are no restrictions on access to the data; anyone can view and download a copy.
* Closed access: a description of your dataset is published (metadata); however, the dataset can only be accessed by its subject, owner or holder.
* Restricted access: a description of your dataset is published (metadata) and provides information on how to apply for access to the data (registered access, access upon request etc...).
* Embargoed: the dataset can't be accessed until the end of a specified time period, after which it becomes Open, Closed or Restricted access.","* Open access: Datasets [Name] and [Name]; 
Restricted access: Datasets [Name] and [Name]; 
Closed access: Datasets [Name].
* All datasets will be open access.",H2020,Making data openly accessible,Specify which data will be made openly available?
sharing_reuse,1. Which datasets will be shared and made available (for the society) after the end of the project? Distinguish open access datasets from restricted or closed access datasets.,"What does open, closed and restricted access mean?

* Open access: there are no restrictions on access to the data; anyone can view and download a copy.
* Closed access: a description of your dataset is published (metadata); however, the dataset can only be accessed by its subject, owner or holder.
* Restricted access: a description of your dataset is published (metadata) and provides information on how to apply for access to the data (registered access, access upon request etc...).
* Embargoed: the dataset can't be accessed until the end of a specified time period, after which it becomes Open, Closed or Restricted access.","* Open access: Datasets [Name] and [Name]; 
Restricted access: Datasets [Name] and [Name]; 
Closed access: Datasets [Name].
* All datasets will be open access.",HorizonEurope,Making data accessible,Will all data be made openly available?
sharing_reuse,1. Which datasets will be shared and made available (for the society) after the end of the project? Distinguish open access datasets from restricted or closed access datasets.,"What does open, closed and restricted access mean?

* Open access: there are no restrictions on access to the data; anyone can view and download a copy.
* Closed access: a description of your dataset is published (metadata); however, the dataset can only be accessed by its subject, owner or holder.
* Restricted access: a description of your dataset is published (metadata) and provides information on how to apply for access to the data (registered access, access upon request etc...).
* Embargoed: the dataset can't be accessed until the end of a specified time period, after which it becomes Open, Closed or Restricted access.","* Open access: Datasets [Name] and [Name]; 
Restricted access: Datasets [Name] and [Name]; 
Closed access: Datasets [Name].
* All datasets will be open access.",ScienceEurope,"4b. How will other legal issues, such as intellectual property rights and ownership, be managed? What legislation is applicable?","â€¢ Explain who will be the owner of the data, meaning who will have the rights to control access: â€º Explain what access conditions will apply to the data? Will the data be **openly accessible, or will there be access restrictions**? In the latter case, which? Consider the use of data access and re-use licenses. â€º Make sure to cover these matters of rights to control access to data for multi-partner projects and multiple data owners, in the consortium agreement."
sharing_reuse,"2. Are there any factors restricting or preventing the sharing of (some of) the data? Per dataset with restricted or closed access, provide a rationale for doing so.",,"* For dataset [Name], the legal agreement with a 3rd party states the following: [explain briefly].
* Dataset [Name] contains personal data that require restricted access, only metadata will be open.
* For dataset [Name], the researcher involved and the IP team will make the necessary arrangements in order to maintain the embargo on the data access, at least until essential steps in securing intellectual property have been taken.
* There are no restricting factors for any datasets.",FWO,Data sharing and reuse,"Are there any factors restricting or preventing the sharing of (some of) the data (e.g. as defined in an agreement with a 3rd party, legal restrictions)?"
